PLAYER,TEAM_SH,G,GS,MP,TRB,AST,STL,BLK,PS/G,GP,W,L,NETRTG,TS%,PIE,MPG,RPM,WINS,pageviews,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,POSITION,TEAM,SALARY,AVG,PCT
Nikola Vucevic,ORL,75,55,28.8,10.4,2.8,1.0,1.0,14.6,75,27,48,-3.6,49.8,14.2,28.8,0.77,5.44,4.234,5.5,35.5, C,Orlando Magic,11750000.0,17753,94.2
Myles Turner,IND,81,81,31.4,7.3,1.3,0.9,2.1,14.5,81,42,39,3.2,58.5,11.2,31.4,2.66,9.31,4.574,53.0,31.0, C,Indiana Pacers,2463840.0,16697,91.9
Enes Kanter,OKC,72,0,21.3,6.7,0.9,0.4,0.5,14.3,72,43,29,-0.1,59.9,15.4,21.3,-0.68,2.4,487.901,147.0,195.0, C,Oklahoma City Thunder,17145838.0,18203,100.0
Dirk Nowitzki,DAL,54,54,26.4,6.5,1.5,0.6,0.7,14.2,54,23,31,-1.7,52.9,12.4,26.4,0.26,3.02,1303.433,1564.0,500.5, PF,Dallas Mavericks,25000000.0,19789,103.1
Zach Randolph,MEM,73,5,24.5,8.2,1.7,0.5,0.1,14.1,73,38,35,-1.1,49.0,15.2,24.5,-1.42,1.83,262.91,47.0,18.5, PF,Memphis Grizzlies,10361445.0,16519,91.2
Al Horford,BOS,68,68,32.3,6.8,5.0,0.8,1.3,14.0,68,46,22,5.0,55.3,12.5,32.3,1.82,6.93,569.636,136.0,71.0, C,Boston Celtics,26540100.0,18553,99.6
Marcus Morris,DET,79,79,32.5,4.6,2.0,0.7,0.3,14.0,79,36,43,-2.8,50.8,8.0,32.5,0.52,5.85,2.575,6.0,23.0, PF,Detroit Pistons,4625000.0,15979,72.4
Jae Crowder,BOS,72,72,32.4,5.8,2.2,1.0,0.3,13.9,72,48,24,7.8,61.3,10.3,32.4,3.89,10.52,217.84,55.0,47.0, SF,Boston Celtics,6286408.0,18553,99.6
Kentavious Caldwell-Pope,DET,76,75,33.3,3.3,2.5,1.2,0.2,13.8,76,33,43,-4.0,51.9,7.8,33.3,-0.6,4.02,104.187,9.0,10.0, SG,Detroit Pistons,3678319.0,15979,72.4
Will Barton,DEN,60,19,28.4,4.3,3.4,0.8,0.5,13.7,60,31,29,-2.9,54.7,10.2,28.4,-1.15,2.2,120.616,1.0,3.0, SG,Denver Nuggets,3533333.0,14770,77.1
Tyler Johnson,MIA,73,0,29.8,4.0,3.2,1.2,0.6,13.7,73,35,38,0.5,53.5,10.8,29.8,0.31,4.72,5.566,3.0,6.0, SG,Miami Heat,5628000.0,19643,100.2
Dwight Howard,ATL,74,74,29.7,12.7,1.4,0.9,1.2,13.5,74,37,37,-2.0,62.7,15.1,29.7,0.9,5.65,1323.27,7.0,1.0, C,Atlanta Hawks,23180275.0,15958,85.2
Darren Collison,SAC,68,64,30.3,2.2,4.6,1.0,0.1,13.2,68,26,42,-4.2,57.0,10.0,30.3,-0.41,3.44,133.821,4.0,7.0, PG,Sacramento Kings,5229454.0,17608,100.6
Julius Randle,LAL,74,73,28.8,8.6,3.6,0.7,0.5,13.2,74,24,50,-10.2,54.3,11.3,28.8,-1.82,1.83,265.862,102.0,59.0, PF,Los Angeles Lakers,3267120.0,18949,99.4
